Date,Open,High,Low,Close,Target,politica,exterior,ecologia,economia,social
2021-07-08,3643.5600590000004,3759.98999,3621.1201170000004,3731.4099119999996,3719.3400880000004,-0.234203,-0.199429,-0.230726,-0.222382,-0.24567
2021-07-09,3722.5200200000004,3748.0,3693.399902,3719.3400880000004,3718.5500490000004,0.278017,0.265801,0.284539,0.265109,0.287057
2021-07-12,3744.0,3757.290039,3696.790039,3718.5500490000004,3677.360107,0.241463,0.219018,0.245221,0.218621,0.244458
2021-07-13,3702.100098,3773.080078,3671.320068,3677.360107,3681.679932,-0.330344,-0.309196,-0.297206,-0.325155,-0.31311
